,clone-depth,groups,name,path
0,,pdk,platform/build,build
1,,"pdk,tradefed",platform/build/blueprint,build/blueprint
2,,"pdk,tradefed",platform/build/kati,build/kati
3,,"pdk,tradefed",platform/build/soong,build/soong
4,,pdk,platform/abi/cpp,abi/cpp
5,,pdk,platform/art,art
6,,pdk,platform/bionic,bionic
7,,pdk,platform/bootable/recovery,bootable/recovery
8,,pdk,platform/compatibility/cdd,compatibility/cdd
9,,"cts,pdk-cw-fs,pdk-fs",platform/cts,cts
10,,"pdk-cw-fs,pdk-fs",platform/dalvik,dalvik
11,,,platform/developers/build,developers/build
12,,,platform/developers/demos,developers/demos
13,,,platform/developers/samples/android,developers/samples/android
14,,"pdk-cw-fs,pdk-fs",platform/development,development
15,,"device,fugu,broadcom_pdk,pdk",device/asus/fugu,device/asus/fugu
16,1,"device,fugu,broadcom_pdk,pdk",device/asus/fugu-kernel,device/asus/fugu-kernel
17,,"pdk-cw-fs,pdk",device/common,device/common
18,,pdk,device/generic/arm64,device/generic/arm64
19,,pdk,device/generic/armv7-a-neon,device/generic/armv7-a-neon
20,,pdk,device/generic/common,device/generic/common
21,,pdk,device/generic/goldfish,device/generic/goldfish
22,,pdk,device/generic/goldfish-opengl,device/generic/goldfish-opengl
23,,pdk,device/generic/mips,device/generic/mips
24,,pdk,device/generic/mips64,device/generic/mips64
25,,pdk,device/generic/mini-emulator-arm64,device/generic/mini-emulator-arm64
26,,pdk,device/generic/mini-emulator-armv7-a-neon,device/generic/mini-emulator-armv7-a-neon
27,,pdk,device/generic/mini-emulator-mips,device/generic/mini-emulator-mips
28,,pdk,device/generic/mini-emulator-mips64,device/generic/mini-emulator-mips64
29,,pdk,device/generic/mini-emulator-x86,device/generic/mini-emulator-x86
30,,pdk,device/generic/mini-emulator-x86_64,device/generic/mini-emulator-x86_64
31,,pdk,device/generic/qemu,device/generic/qemu
32,,pdk,device/generic/x86,device/generic/x86
33,,pdk,device/generic/x86_64,device/generic/x86_64
34,,"device,pdk",device/google/accessory/arduino,device/google/accessory/arduino
35,,"device,pdk",device/google/accessory/demokit,device/google/accessory/demokit
36,,"device,fugu,broadcom_pdk,generic_fs,pdk",device/google/atv,device/google/atv
37,,"device,marlin,pdk",device/google/contexthub,device/google/contexthub
38,,"device,dragon,pdk",device/google/dragon,device/google/dragon
39,1,"device,dragon,pdk",device/google/dragon-kernel,device/google/dragon-kernel
40,,"device,marlin",device/google/marlin,device/google/marlin
41,1,"device,marlin",device/google/marlin-kernel,device/google/marlin-kernel
42,,"device,flounder,pdk",device/htc/flounder,device/htc/flounder
43,1,"device,flounder,pdk",device/htc/flounder-kernel,device/htc/flounder-kernel
44,,"device,angler,broadcom_pdk,pdk",device/huawei/angler,device/huawei/angler
45,1,"device,angler,broadcom_pdk,pdk",device/huawei/angler-kernel,device/huawei/angler-kernel
46,,"device,pdk",device/intel/edison,device/intel/edison
47,,"device,bullhead,pdk",device/lge/bullhead,device/lge/bullhead
48,1,"device,bullhead,pdk",device/lge/bullhead-kernel,device/lge/bullhead-kernel
49,,"device,hikey,pdk",device/linaro/hikey,device/linaro/hikey
50,1,"device,hikey,pdk",device/linaro/hikey-kernel,device/linaro/hikey-kernel
51,,"device,shamu,broadcom_pdk,generic_fs,pdk",device/moto/shamu,device/moto/shamu
52,1,"device,shamu,broadcom_pdk,generic_fs,pdk",device/moto/shamu-kernel,device/moto/shamu-kernel
53,,pdk,device/sample,device/sample
54,,"pdk-cw-fs,pdk-fs",platform/docs/source.android.com,docs/source.android.com
55,,pdk,platform/external/aac,external/aac
56,,"adt-infra,notdefault,pdk-fs",platform/external/adt-infra,external/adt-infra
57,,pdk,platform/external/android-clat,external/android-clat
58,,pdk,platform/external/android-mock,external/android-mock
59,,pdk,platform/external/androidplot,external/androidplot
60,,pdk,platform/external/ant-glob,external/ant-glob
61,,pdk,platform/external/antlr,external/antlr
62,,pdk,platform/external/apache-commons-math,external/apache-commons-math
63,,pdk,platform/external/apache-harmony,external/apache-harmony
64,,pdk,platform/external/apache-http,external/apache-http
65,,pdk,platform/external/apache-xml,external/apache-xml
66,,pdk,platform/external/archive-patcher,external/archive-patcher
67,,pdk-fs,platform/external/autotest,external/autotest
68,,pdk,platform/external/avahi,external/avahi
69,,pdk,platform/external/bison,external/bison
70,,pdk,platform/external/blktrace,external/blktrace
71,,pdk,platform/external/boringssl,external/boringssl
72,,pdk,platform/external/bouncycastle,external/bouncycastle
73,,pdk,platform/external/bsdiff,external/bsdiff
74,,pdk,platform/external/bzip2,external/bzip2
75,,pdk,platform/external/c-ares,external/c-ares
76,,pdk,platform/external/caliper,external/caliper
77,,pdk,platform/external/cblas,external/cblas
78,,pdk,platform/external/ceres-solver,external/ceres-solver
79,,pdk,platform/external/chromium-libpac,external/chromium-libpac
80,,pdk,platform/external/chromium-trace,external/chromium-trace
81,,pdk,platform/external/chromium-webview,external/chromium-webview
82,,pdk,platform/external/clang,external/clang
83,,pdk,platform/external/cmockery,external/cmockery
84,,pdk,platform/external/compiler-rt,external/compiler-rt
85,,pdk,platform/external/conscrypt,external/conscrypt
86,,pdk,platform/external/crcalc,external/crcalc
87,,pdk,platform/external/cros/system_api,external/cros/system_api
88,,pdk,platform/external/curl,external/curl
89,,pdk,platform/external/dagger2,external/dagger2
90,,pdk,platform/external/dbus,external/dbus
91,,pdk,platform/external/dbus-binding-generator,external/dbus-binding-generator
92,,pdk-fs,platform/external/deqp,external/deqp
93,,pdk,platform/external/dexmaker,external/dexmaker
94,,pdk,platform/external/dhcpcd-6.8.2,external/dhcpcd-6.8.2
95,,pdk,platform/external/dng_sdk,external/dng_sdk
96,,pdk,platform/external/dnsmasq,external/dnsmasq
97,,pdk,platform/external/dlmalloc,external/dlmalloc
98,,pdk,platform/external/doclava,external/doclava
99,,pdk,platform/external/donuts,external/donuts
100,,"drm_gralloc,pdk-fs",platform/external/drm_gralloc,external/drm_gralloc
101,,"drm_hwcomposer,pdk-fs",platform/external/drm_hwcomposer,external/drm_hwcomposer
102,,pdk,platform/external/droiddriver,external/droiddriver
103,,pdk,platform/external/e2fsprogs,external/e2fsprogs
104,,pdk,platform/external/easymock,external/easymock
105,,"pdk-cw-fs,pdk-fs",platform/external/eclipse-basebuilder,external/eclipse-basebuilder
106,,pdk,platform/external/eclipse-windowbuilder,external/eclipse-windowbuilder
107,,pdk,platform/external/eigen,external/eigen
108,,pdk,platform/external/elfutils,external/elfutils
109,,pdk,platform/external/embunit,external/embunit
110,,pdk,platform/external/emma,external/emma
111,,pdk,platform/external/esd,external/esd
112,,pdk,platform/external/expat,external/expat
113,,pdk,platform/external/eyes-free,external/eyes-free
114,,pdk,platform/external/f2fs-tools,external/f2fs-tools
115,,pdk,platform/external/fdlibm,external/fdlibm
116,,pdk,platform/external/fec,external/fec
117,,pdk,platform/external/fio,external/fio
118,,pdk,platform/external/flac,external/flac
119,,pdk,platform/external/fonttools,external/fonttools
120,,pdk,platform/external/freetype,external/freetype
121,,pdk,platform/external/fsck_msdos,external/fsck_msdos
122,,pdk,platform/external/gemmlowp,external/gemmlowp
123,,"pdk,qcom_msm8x26",platform/external/giflib,external/giflib
124,,pdk,platform/external/glide,external/glide
125,,pdk,platform/external/gmock,external/gmock
126,,pdk,platform/external/google-benchmark,external/google-benchmark
127,,"dragon,pdk-fs",platform/external/google-breakpad,external/google-breakpad
128,,pdk,platform/external/google-fonts/carrois-gothic-sc,external/google-fonts/carrois-gothic-sc
129,,pdk,platform/external/google-fonts/coming-soon,external/google-fonts/coming-soon
130,,pdk,platform/external/google-fonts/cutive-mono,external/google-fonts/cutive-mono
131,,pdk,platform/external/google-fonts/dancing-script,external/google-fonts/dancing-script
132,,pdk,platform/external/google-tv-pairing-protocol,external/google-tv-pairing-protocol
133,,pdk,platform/external/gptfdisk,external/gptfdisk
134,,pdk,platform/external/gtest,external/gtest
135,,pdk,platform/external/guava,external/guava
136,,pdk,platform/external/guice,external/guice
137,,pdk,platform/external/hamcrest,external/hamcrest
138,,"pdk,qcom_msm8x26",platform/external/harfbuzz_ng,external/harfbuzz_ng
139,,pdk,platform/external/hyphenation-patterns,external/hyphenation-patterns
140,,pdk,platform/external/icu,external/icu
141,,pdk,platform/external/ImageMagick,external/ImageMagick
142,,pdk,platform/external/ims,external/ims
143,,pdk,platform/external/iproute2,external/iproute2
144,,pdk,platform/external/ipsec-tools,external/ipsec-tools
145,,pdk,platform/external/iptables,external/iptables
146,,pdk,platform/external/iputils,external/iputils
147,,pdk,platform/external/iw,external/iw
148,,pdk,platform/external/jacoco,external/jacoco
149,,pdk,platform/external/jarjar,external/jarjar
150,,pdk,platform/external/javasqlite,external/javasqlite
151,,pdk,platform/external/javassist,external/javassist
152,,pdk,platform/external/jcommander,external/jcommander
153,,pdk,platform/external/jdiff,external/jdiff
154,,pdk,platform/external/jemalloc,external/jemalloc
155,,pdk,platform/external/jetty,external/jetty
156,,pdk,platform/external/jhead,external/jhead
157,,"notdefault,tradefed,pdk-fs",platform/external/jline,external/jline
158,,pdk,platform/external/jmdns,external/jmdns
159,,pdk,platform/external/jmonkeyengine,external/jmonkeyengine
160,,pdk,platform/external/jsilver,external/jsilver
161,,pdk,platform/external/jsmn,external/jsmn
162,,pdk,platform/external/jsoncpp,external/jsoncpp
163,,pdk,platform/external/jsr305,external/jsr305
164,,pdk,platform/external/jsr330,external/jsr330
165,,pdk,platform/external/junit,external/junit
166,,pdk,platform/external/kernel-headers,external/kernel-headers
167,,pdk,platform/external/ksoap2,external/ksoap2
168,,pdk,platform/external/libavc,external/libavc
169,,pdk,platform/external/libbrillo,external/libbrillo
170,,pdk,platform/external/libcap,external/libcap
171,,pdk,platform/external/libcap-ng,external/libcap-ng
172,,pdk,platform/external/libchrome,external/libchrome
173,,pdk,platform/external/libcxx,external/libcxx
174,,pdk,platform/external/libcxxabi,external/libcxxabi
175,,pdk,platform/external/libdivsufsort,external/libdivsufsort
176,,pdk,platform/external/libdrm,external/libdrm
177,,pdk,platform/external/libedit,external/libedit
178,,pdk,platform/external/libdaemon,external/libdaemon
179,,pdk,platform/external/libevent,external/libevent
180,,pdk,platform/external/libexif,external/libexif
181,,pdk,platform/external/libgdx,external/libgdx
182,,pdk,platform/external/libgsm,external/libgsm
183,,pdk,platform/external/libhevc,external/libhevc
184,,pdk,platform/external/libjpeg-turbo,external/libjpeg-turbo
185,,pdk,platform/external/liblzf,external/liblzf
186,,pdk,platform/external/libmicrohttpd,external/libmicrohttpd
187,,pdk,platform/external/libmpeg2,external/libmpeg2
188,,pdk,platform/external/libmtp,external/libmtp
189,,pdk,platform/external/libnfc-nci,external/libnfc-nci
190,,pdk,platform/external/libnfc-nxp,external/libnfc-nxp
191,,pdk,platform/external/libnl,external/libnl
192,,pdk,platform/external/libogg,external/libogg
193,,pdk,platform/external/libopus,external/libopus
194,,pdk,platform/external/libpcap,external/libpcap
195,,pdk,platform/external/libphonenumber,external/libphonenumber
196,,pdk,platform/external/libpng,external/libpng
197,,pdk,platform/external/libselinux,external/libselinux
198,,pdk,platform/external/libunwind,external/libunwind
199,,pdk,platform/external/libunwind_llvm,external/libunwind_llvm
200,,pdk,platform/external/libusb,external/libusb
201,,pdk,platform/external/libusb-compat,external/libusb-compat
202,,pdk,platform/external/libutf,external/libutf
203,,pdk,platform/external/libvncserver,external/libvncserver
204,,pdk,platform/external/libvorbis,external/libvorbis
205,,pdk,platform/external/libvpx,external/libvpx
206,,pdk,platform/external/libvterm,external/libvterm
207,,pdk,platform/external/libweave,external/libweave
208,,"pdk,libxml2",platform/external/libxml2,external/libxml2
209,,"pdk,libyuv",platform/external/libyuv,external/libyuv
210,,pdk,platform/external/littlemock,external/littlemock
211,,pdk,platform/external/lld,external/lld
212,,"pdk-cw-fs,pdk-fs",platform/external/lldb,external/lldb
213,,pdk,platform/external/llvm,external/llvm
214,,pdk,platform/external/ltrace,external/ltrace
215,,pdk,platform/external/lz4,external/lz4
216,,pdk,platform/external/lzma,external/lzma
217,,pdk,platform/external/marisa-trie,external/marisa-trie
218,,pdk,platform/external/markdown,external/markdown
219,,pdk,platform/external/mdnsresponder,external/mdnsresponder
220,,"pdk-cw-fs,pdk-fs",platform/external/mesa3d,external/mesa3d
221,,pdk,platform/external/messageformat,external/messageformat
222,,pdk,platform/external/minijail,external/minijail
223,,pdk,platform/external/mksh,external/mksh
224,,pdk,platform/external/mmc-utils,external/mmc-utils
225,,pdk,platform/external/mockftpserver,external/mockftpserver
226,,pdk,platform/external/mockito,external/mockito
227,,pdk,platform/external/mockwebserver,external/mockwebserver
228,,pdk,platform/external/modp_b64,external/modp_b64
229,,pdk,platform/external/mp4parser,external/mp4parser
230,,pdk,platform/external/mtpd,external/mtpd
231,,pdk,platform/external/nanohttpd,external/nanohttpd
232,,pdk,platform/external/nanopb-c,external/nanopb-c
233,,pdk,platform/external/naver-fonts,external/naver-fonts
234,,pdk,platform/external/netcat,external/netcat
235,,pdk,platform/external/netperf,external/netperf
236,,pdk,platform/external/neven,external/neven
237,,pdk,platform/external/nfacct,external/nfacct
238,,pdk,platform/external/nist-pkits,external/nist-pkits
239,,pdk,platform/external/nist-sip,external/nist-sip
240,,pdk,platform/external/noto-fonts,external/noto-fonts
241,,pdk,platform/external/oauth,external/oauth
242,,pdk,platform/external/objenesis,external/objenesis
243,,pdk,platform/external/okhttp,external/okhttp
244,,"pdk-cw-fs,pdk-fs",platform/external/opencv,external/opencv
245,,pdk,platform/external/openfst,external/openfst
246,,pdk,platform/external/openssh,external/openssh
247,,pdk,platform/external/owasp/sanitizer,external/owasp/sanitizer
248,,pdk,platform/external/parameter-framework,external/parameter-framework
249,,pdk,platform/external/pcre,external/pcre
250,,pdk,platform/external/pdfium,external/pdfium
251,,pdk,platform/external/piex,external/piex
252,,pdk,platform/external/ppp,external/ppp
253,,pdk,platform/external/proguard,external/proguard
254,,pdk,platform/external/protobuf,external/protobuf
255,,pdk,platform/external/regex-re2,external/regex-re2
256,,pdk,platform/external/replicaisland,external/replicaisland
257,,pdk,platform/external/rmi4utils,external/rmi4utils
258,,"pdk-cw-fs,pdk-fs",platform/external/robolectric,external/robolectric
259,,pdk,platform/external/roboto-fonts,external/roboto-fonts
260,,pdk,platform/external/rootdev,external/rootdev
261,,pdk,platform/external/safe-iop,external/safe-iop
262,,pdk,platform/external/scrypt,external/scrypt
263,,pdk,platform/external/selinux,external/selinux
264,,pdk,platform/external/shflags,external/shflags
265,,"pdk,qcom_msm8x26",platform/external/sfntly,external/sfntly
266,,"pdk,qcom_msm8x26",platform/external/skia,external/skia
267,,pdk,platform/external/sl4a,external/sl4a
268,,pdk,platform/external/slf4j,external/slf4j
269,,pdk,platform/external/smali,external/smali
270,,pdk,platform/external/snakeyaml,external/snakeyaml
271,,pdk,platform/external/sonic,external/sonic
272,,pdk,platform/external/sonivox,external/sonivox
273,,pdk,platform/external/speex,external/speex
274,,pdk,platform/external/sqlite,external/sqlite
275,,pdk,platform/external/squashfs-tools,external/squashfs-tools
276,,pdk,platform/external/srtp,external/srtp
277,,pdk,platform/external/strace,external/strace
278,,pdk,platform/external/svox,external/svox
279,,pdk,platform/external/tagsoup,external/tagsoup
280,,pdk,platform/external/testng,external/testng
281,,pdk,platform/external/tcpdump,external/tcpdump
282,,pdk,platform/external/timezonepicker-support,external/timezonepicker-support
283,,pdk,platform/external/tinyalsa,external/tinyalsa
284,,pdk,platform/external/tinycompress,external/tinycompress
285,,pdk,platform/external/tinyxml,external/tinyxml
286,,pdk,platform/external/tinyxml2,external/tinyxml2
287,,pdk,platform/external/tlsdate,external/tlsdate
288,,pdk,platform/external/toybox,external/toybox
289,,pdk,platform/external/tpm2,external/tpm2
290,,pdk,platform/external/tremolo,external/tremolo
291,,pdk,platform/external/unicode,external/unicode
292,,,platform/external/universal-tween-engine,external/universal-tween-engine
293,,pdk,platform/external/v8,external/v8
294,,pdk,platform/external/valgrind,external/valgrind
295,,"vboot,pdk-fs",platform/external/vboot_reference,external/vboot_reference
296,,pdk,platform/external/vixl,external/vixl
297,,pdk,platform/external/vogar,external/vogar
298,,pdk,platform/external/vulkan-validation-layers,external/vulkan-validation-layers
299,,"pdk,qcom_msm8x26",platform/external/webp,external/webp
300,,pdk,platform/external/webrtc,external/webrtc
301,,pdk,platform/external/wpa_supplicant_8,external/wpa_supplicant_8
302,,pdk,platform/external/xmlrpcpp,external/xmlrpcpp
303,,pdk,platform/external/xmlwriter,external/xmlwriter
304,,pdk,platform/external/xmp_toolkit,external/xmp_toolkit
305,,pdk,platform/external/zlib,external/zlib
